"","STATE","EVTYPE","Year","Month","FATALITIES","INJURIES","PROPDMG","CROPDMG"
"461","CA","TORNADO",1988,"Jan",0,0,25.25,0
"462","FL","TORNADO",1988,"Jan",0,3,250,0
"463","MS","TORNADO",1988,"Jan",0,12,310,0
"464","TN","TORNADO",1988,"Jan",5,30,527.5,0
"465","AL","TSTM WIND",1988,"Jan",0,0,0,0
"466","FL","TSTM WIND",1988,"Jan",0,5,0,0
"467","GA","TSTM WIND",1988,"Jan",0,0,0,0
"468","LA","TSTM WIND",1988,"Jan",0,0,0,0
"469","MS","TSTM WIND",1988,"Jan",0,0,0,0
"470","NC","TSTM WIND",1988,"Jan",0,0,0,0
"471","TX","TSTM WIND",1988,"Jan",0,0,0,0
"472","IL","HAIL",1989,"Jan",0,0,0,0
"473","IN","HAIL",1989,"Jan",0,0,0,0
